energy,max_power,max_power_freq,mean_spectrum,var_spectrum,max_spectrum,min_spectrum,entropy,no zero crossing,no mean crossings,n5,n25,n75,n95,median,mean,std,var,rms,Type
2.1135017566109626,0.018323656331904498,0.4921875,0.0005001301390313319,8.795384234345959e-07,0.020338345447372046,4.4875487274967074e-10,8.540909718033554,3972.0,3972.0,-0.025267937515191255,-0.009997977064024586,0.009425799191903811,0.026423017909652357,-0.00022470026288095283,1.0029517745837513e-06,0.020317315541974693,0.0004127933108321664,0.013368678849867833,Locales
1.828432777284084,0.034444161432637274,0.23828125,0.0004889494009313472,7.350068406005859e-07,0.011035169810364237,4.766823562393427e-11,8.540638957416146,2461.0,2461.0,-0.02820125931693587,-0.014795038621123026,0.014410643297819686,0.03078381473634041,-0.0006330932188194146,-2.242386218896684e-06,0.01889750702566351,0.0003571157717850017,0.01564589981390483,Locales
0.8304009785825688,0.0028879874567699438,0.08203125,0.0003948423022681491,2.903716593896199e-07,0.004030468652979584,3.204447078017322e-09,8.540638957416146,1234.0,1234.0,-0.017013486344075672,-0.00848592085916616,0.007150115533548556,0.022976287752367743,-0.0016282871331855494,1.239434444333566e-06,0.01273529307056615,0.0001621876895932102,0.009759561518586493,Locales
1.2181455321381693,0.006005115272178721,0.4921875,0.0004209299141010748,5.343242630978674e-07,0.012718450754864273,4.283824730459417e-10,8.489616423646002,3721.0,3721.0,-0.02347911576098517,-0.009376081120433465,0.009291106498441549,0.0237077475166937,-8.365489842025498e-06,3.9681528086263287e-07,0.015825331096433134,0.0002504411043117336,0.011710698257848236,Locales
0.7113747962043085,0.002646612069778715,0.1640625,0.00037515320353851,2.6253516735327787e-07,0.004974368411822604,1.1282253560215838e-09,8.489331412469785,2653.0,2649.0,-0.019461077573046492,-0.007841459962924475,0.007627602638433087,0.019379098067471866,0.0002138578143292743,1.8385589540314997e-06,0.012093512252546597,0.00014625303860249465,0.00943622697231545,Locales
0.21944738612123213,0.0025184285370834164,0.1640625,0.00019217610073290627,9.108488086669095e-08,0.003151802819931554,1.0630291722257965e-08,8.489331412469785,1383.0,1383.0,-0.010484462308456365,-0.004756866345809681,0.004575885099010393,0.011274804767392236,-0.0002170067383262555,-2.2353742348300535e-06,0.006716892518885742,4.511664511026325e-05,0.005397271500598707,Locales
7.944793691573028,0.14818563683055413,0.49609375,0.0007338287653590042,6.428598570158411e-06,0.05355567889568179,6.186597066973302e-09,8.184234774094822,2960.0,2960.0,-0.03599466119300802,-0.010712289362040668,0.010494632130750029,0.037058569671578154,0.00023620648369658808,5.252072032498526e-06,0.04708226081743033,0.0022167392836805353,0.02164297773784454,Locales
1.0271981293457746,0.0028391682882550648,0.26171875,0.0004755098530126734,6.44611532236613e-07,0.007359533983289296,1.4797829840689425e-09,8.184234774094822,2076.0,2076.0,-0.019568866627300625,-0.007023588722183061,0.0067585475215170224,0.01965058740156073,2.208672110655223e-05,4.886525991873647e-06,0.01692945944302632,0.0002866065970330731,0.010081709473345477,Locales
0.4542587977315197,0.002673740569217768,0.13671875,0.0002538303590640602,3.4244173046551053e-07,0.008345932776262126,9.54014635410726e-10,8.184234774094822,956.0,958.0,-0.008610519497292368,-0.0033924821452654356,0.0029329114421695513,0.010450442353070856,-0.00048243922351533865,-1.0138598024397364e-05,0.011258162085356975,0.0001267462135401693,0.0053145904409725745,Locales
7.944793691573028,0.14818563683055413,0.49609375,0.0007338287653590042,6.428598570158411e-06,0.05355567889568179,6.186597066973302e-09,8.184234774094822,2960.0,2960.0,-0.03599466119300802,-0.010712289362040668,0.010494632130750029,0.037058569671578154,0.00023620648369658808,5.252072032498526e-06,0.04708226081743033,0.0022167392836805353,0.02164297773784454,Locales
1.0271981293457746,0.0028391682882550648,0.26171875,0.0004755098530126734,6.44611532236613e-07,0.007359533983289296,1.4797829840689425e-09,8.184234774094822,2076.0,2076.0,-0.019568866627300625,-0.007023588722183061,0.0067585475215170224,0.01965058740156073,2.208672110655223e-05,4.886525991873647e-06,0.01692945944302632,0.0002866065970330731,0.010081709473345477,Locales
0.4542587977315197,0.002673740569217768,0.13671875,0.0002538303590640602,3.4244173046551053e-07,0.008345932776262126,9.54014635410726e-10,8.184234774094822,956.0,958.0,-0.008610519497292368,-0.0033924821452654356,0.0029329114421695513,0.010450442353070856,-0.00048243922351533865,-1.0138598024397364e-05,0.011258162085356975,0.0001267462135401693,0.0053145904409725745,Locales
0.9464709046469018,0.008727064629693783,0.4921875,0.0004287156294475625,7.70331180979277e-07,0.013031440162813913,4.075902931775982e-09,7.847762537473608,2172.0,2172.0,-0.02837689641492061,-0.01052533424019565,0.010421449802116366,0.02816033376381547,-0.00020621453755926856,4.2789985907653055e-06,0.019227979062238106,0.000369715178817867,0.013865854086629917,Locales
0.25693219091004316,0.0025923102499415943,0.16796875,0.0003059780975077212,1.7133578845695674e-07,0.003966808254647041,9.254660537685844e-09,7.847762537473608,1276.0,1276.0,-0.014981631606365385,-0.005864066769124332,0.005811078348548459,0.015553905808551602,7.0651201888146e-05,8.932867878111982e-07,0.01001819026951846,0.00010036413627627434,0.007443409361359274,Locales
0.15097049681610508,0.0025387058414294383,0.16796875,0.0001970059903457074,1.1757389270747128e-07,0.003945042078172037,5.307346583646822e-09,7.847762537473608,719.0,719.0,-0.011385988567141472,-0.0050530806119481065,0.004763313425393872,0.012827711190138445,-0.00027296293788883373,-5.172285378340197e-06,0.00767937650895273,5.897282356625501e-05,0.005948434852809796,Locales
